timestamp_local,elapsed_s,type,mv,adc,mv_peak,adc_peak,baseline_adc,dead_us,lat,lon,temp_C,pressure_hPa
2025-10-27T10:16:12.213873+02:00,1.196,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.219737+02:00,1.284,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.225593+02:00,1.284,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.231457+02:00,1.285,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.237320999+02:00,1.285,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.243184999+02:00,1.285,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.249049+02:00,1.286,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.254921+02:00,1.286,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.260793+02:00,1.287,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.266649+02:00,1.287,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.272513+02:00,1.287,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.278385+02:00,1.288,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.284249+02:00,1.288,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.290105+02:00,1.288,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.295977+02:00,1.289,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.301841+02:00,1.289,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.307705+02:00,1.289,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.313569+02:00,1.377,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.319433+02:00,1.377,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.325305+02:00,1.378,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.331161+02:00,1.378,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.337025+02:00,1.378,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.342897+02:00,1.379,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.348769+02:00,1.379,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.354625+02:00,1.379,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.360489+02:00,1.380,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.366353+02:00,1.380,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.372217+02:00,1.380,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.378081+02:00,1.380,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
